-1402962,5619567,2661849
-1404049,5619591,2661231
-1404977,5619604,2660715
-1405526,5619518,2660608
-1406042,5619547,2660278
-1406965,5619530,2659829
-1408426,5619443,2659242
-1409740,5619704,2658003
-1410215,5620105,2656909
-1410855,5620234,2656301
-1410855,5620234,2656301
-1410215,5620105,2656909
-1409740,5619704,2658003
-1408426,5619443,2659242
-1406965,5619530,2659829
-1406042,5619547,2660278
-1405526,5619518,2660608
-1404977,5619604,2660715
-1404049,5619591,2661231
-1402962,5619567,2661849
